number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
145,0.8823554857728787,2025-09-18 18:38:42.939840,2025-09-18 18:38:48.362430,0 days 00:00:05.422590,False,,entropy,32.0,0.5,2,3,846,COMPLETE
146,0.8662650602409638,2025-09-18 18:38:48.382559,2025-09-18 18:38:52.948760,0 days 00:00:04.566201,False,,entropy,32.0,sqrt,3,3,854,COMPLETE
147,0.8824083568315817,2025-09-18 18:38:52.968626,2025-09-18 18:39:00.008103,0 days 00:00:07.039477,False,,entropy,32.0,0.5,2,3,1113,COMPLETE
148,0.8824708408100488,2025-09-18 18:39:00.027741,2025-09-18 18:39:05.162514,0 days 00:00:05.134773,False,,entropy,32.0,0.5,2,3,799,COMPLETE
149,0.874474493719559,2025-09-18 18:39:05.182504,2025-09-18 18:39:12.033587,0 days 00:00:06.851083,False,,entropy,12.0,0.5,2,5,1113,COMPLETE
150,0.882421174057934,2025-09-18 18:39:12.053213,2025-09-18 18:39:17.090271,0 days 00:00:05.037058,False,,entropy,32.0,0.5,2,3,793,COMPLETE
151,0.8824307869776982,2025-09-18 18:39:17.110178,2025-09-18 18:39:22.207564,0 days 00:00:05.097386,False,,entropy,32.0,0.5,2,4,792,COMPLETE
152,0.8825717764675725,2025-09-18 18:39:22.227195,2025-09-18 18:39:30.067543,0 days 00:00:07.840348,False,,entropy,32.0,0.5,2,3,1275,COMPLETE
153,0.8798385029479621,2025-09-18 18:39:30.087611,2025-09-18 18:39:35.115521,0 days 00:00:05.027910,False,,entropy,32.0,0.5,3,2,782,COMPLETE
154,0.8809664188669573,2025-09-18 18:39:35.135461,2025-09-18 18:39:43.227184,0 days 00:00:08.091723,False,,entropy,32.0,0.5,3,4,1304,COMPLETE
155,0.8826038195334529,2025-09-18 18:39:43.248635,2025-09-18 18:39:48.627744,0 days 00:00:05.379109,False,,entropy,32.0,0.5,2,4,827,COMPLETE
156,0.8822737759548833,2025-09-18 18:39:48.649526,2025-09-18 18:39:55.410466,0 days 00:00:06.760940,False,,entropy,32.0,0.8,2,5,949,COMPLETE
157,0.8801717508331197,2025-09-18 18:39:55.433080,2025-09-18 18:40:00.800241,0 days 00:00:05.367161,False,,entropy,32.0,0.5,3,4,822,COMPLETE
