number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
77,0.8933409312927385,2025-09-19 01:24:25.609798,2025-09-19 01:24:26.010869,0 days 00:00:00.401071,balanced,0.7017936237866429,0.09008244094658432,-1,30,0.5115996093117592,1010,100,0.06203008856598468,0.07456063505592797,0.6004577036436793,,PRUNED
78,0.9013676326929339,2025-09-19 01:24:26.034119,2025-09-19 01:24:27.122427,0 days 00:00:01.088308,balanced,0.6438011921800691,0.128510592267727,-1,74,1.9088616982553872,726,159,0.22307164627856899,0.002108656132139946,0.6244924357722418,,PRUNED
79,0.8737300553565613,2025-09-19 01:24:27.146260,2025-09-19 01:24:27.368869,0 days 00:00:00.222609,balanced,0.7113232307507193,0.07266309024014407,-1,45,0.8017277606532253,935,91,1.714648530810963,0.004773771994546417,0.7323906940305126,,PRUNED
80,0.8688537935525887,2025-09-19 01:24:27.391549,2025-09-19 01:24:27.612293,0 days 00:00:00.220744,balanced,0.6613327433307016,0.06367869183640963,-1,83,0.32516071593236096,825,144,0.03407344766906346,0.0012260044363628763,0.7814794627847146,,PRUNED
81,0.8678931943992185,2025-09-19 01:24:27.635118,2025-09-19 01:24:27.844225,0 days 00:00:00.209107,balanced,0.6753480562107049,0.1077747230348977,-1,61,0.10929485476371756,570,139,0.010907762057857547,0.029496652522166614,0.6335653052986472,,PRUNED
82,0.8553565613806577,2025-09-19 01:24:27.867668,2025-09-19 01:24:28.051592,0 days 00:00:00.183924,balanced,0.7520501431055157,0.059406037106326,4,69,0.2955827782773316,807,128,0.17344142594780282,0.16837350885420618,0.6097851045861297,,PRUNED
83,0.8840117225659394,2025-09-19 01:24:28.074147,2025-09-19 01:24:28.376990,0 days 00:00:00.302843,balanced,0.6456327260186889,0.07792125337702688,8,51,0.44586576942287315,418,153,0.5267941081902924,2.992452573431347e-07,0.6210874618322956,,PRUNED
84,0.851579290133507,2025-09-19 01:24:28.400375,2025-09-19 01:24:28.570800,0 days 00:00:00.170425,balanced,0.6955038952810186,0.09162364481215275,14,91,0.5809884730949673,632,118,0.07324926850338707,4.234701107973266,0.6531376059557222,,PRUNED
85,0.9094744204378179,2025-09-19 01:24:28.594115,2025-09-19 01:24:35.372766,0 days 00:00:06.778651,balanced,0.730312651793292,0.16291152240201912,16,79,0.019707588763263686,762,165,0.0019336586634871263,0.08994499645681642,0.6686976772811564,59.6,COMPLETE
86,0.8896125040703354,2025-09-19 01:24:35.402693,2025-09-19 01:24:35.750195,0 days 00:00:00.347502,balanced,0.7349156972793776,0.1999343614365501,16,77,0.0053453807183897716,1063,161,0.0017858474066643787,0.09487292017309217,0.6753063882749838,,PRUNED
