number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
35,0.8720395872440051,2025-09-10 11:52:38.689883,2025-09-10 11:53:52.380812,0 days 00:01:13.690929,balanced,0.9018552107463755,0.013040295844028705,16,96,0.7707067317377841,1847,40,8.358440051722201e-07,0.14681359207703507,0.6452931748116026,706.6,COMPLETE
36,0.8686379347928224,2025-09-10 11:52:40.181849,2025-09-10 11:54:07.687872,0 days 00:01:27.506023,balanced,0.8105535513984244,0.006206297554059017,-1,81,1.7182744776141978,1826,37,2.0830116179488836e-05,0.12146885077562655,0.6688167550075218,858.4,COMPLETE
37,0.8693335882876229,2025-09-10 11:52:49.102166,2025-09-10 11:54:04.294963,0 days 00:01:15.192797,balanced,0.9115272475393651,0.007751291805140574,16,34,1.6604735946097047,1827,34,2.6395819819288225e-05,0.14101952583524907,0.6592732475508419,563.2,COMPLETE
38,0.869404935714908,2025-09-10 11:52:49.688415,2025-09-10 11:54:05.601158,0 days 00:01:15.912743,balanced,0.8579431095635977,0.007237758418283405,-1,31,1.6342676213388025,1757,37,2.4761292125753474e-05,0.17450464544088526,0.6654860269597888,558.4,COMPLETE
39,0.8716824221161029,2025-09-10 11:53:52.775078,2025-09-10 11:54:45.398501,0 days 00:00:52.623423,balanced,0.9554401425396829,0.007452775122656079,16,198,0.5327927239749006,1750,41,1.2271872824436806e-06,0.019277874469094642,0.6698346368300835,,PRUNED
40,0.8741809630470403,2025-09-10 11:53:53.682264,2025-09-10 11:56:22.958472,0 days 00:02:29.276208,balanced,0.9136852921802574,0.006066854177725568,-1,79,0.45706887607860625,1830,36,1.1022474458330267e-08,0.01284603796762288,0.673462193373506,1293.8,COMPLETE
41,0.8744124064722001,2025-09-10 11:54:04.875798,2025-09-10 11:56:20.581818,0 days 00:02:15.706020,balanced,0.963539168394204,0.006623350168362694,-1,76,0.5963205973301868,1562,66,1.1127198934693424e-08,0.01593681889743494,0.7180926544516715,1105.2,COMPLETE
42,0.8748587753479831,2025-09-10 11:54:05.997192,2025-09-10 11:55:10.986989,0 days 00:01:04.989797,,0.6890500612727797,0.015444192851905748,12,79,0.5104759923585562,1613,68,0.0008680296112986085,0.0012350948883332986,0.7752190850753059,527.8,COMPLETE
43,0.8725154659522362,2025-09-10 11:54:07.975431,2025-09-10 11:55:18.096965,0 days 00:01:10.121534,,0.967922892850529,0.014678591917555418,12,52,0.4273660528327813,1571,68,0.005137236389229831,0.012896267562813453,0.7815791255587965,425.4,COMPLETE
44,0.8750848517431076,2025-09-10 11:54:45.701739,2025-09-10 11:55:38.380230,0 days 00:00:52.678491,,0.6866288391201669,0.015783370539523844,12,46,1.067652671105455,1556,72,0.0060036136973092204,0.0010351289627458606,0.7881672478308036,314.8,COMPLETE
